Feature,impact,final_desc
sc_1003,Positive,DNA binding
sc_10030,Negative,"cell division, negative regulation of cell division"
sc_1006,Positive,sequence-specific DNA binding
sc_1007,Negative,DNA integration
sc_10076,Positive,xenobiotic detoxification by transmembrane export across the plasma membrane
sc_1008,Positive,DNA transposition
sc_1010,Positive,signal transduction
sc_10135,Negative,endonuclease activity
sc_1014,Negative,protein folding
sc_1015,Negative,"ATP binding, DNA replication"
sc_10166,Positive,RNA-templated DNA biosynthetic process
sc_1017,Negative,DNA integration
sc_10188,Negative,"ATP binding, secretion by the type IV secretion system"
sc_1019,Positive,"L-lysine catabolic process, gamma-aminobutyric acid catabolic process"
sc_10190,Negative,DNA transposition
sc_10197,Positive,"DNA integration, acyltransferase activity, transferring groups other than amino-acyl groups"
sc_1020,Positive,L-lysine catabolic process
sc_10200,Negative,histone H4S1 kinase activity
sc_1021,Positive,gamma-aminobutyric acid transport
sc_10213,Negative,DNA binding
sc_10217,Negative,viral capsid
sc_1022,Negative,DNA transposition
sc_1023,Positive,regulation of DNA-templated transcription
sc_10232,Negative,chorismate biosynthetic process
sc_1024,Positive,cellular oxidant detoxification
sc_1025,Negative,regulation of DNA-templated transcription
sc_10254,Negative,DNA integration
sc_1026,Negative,ligase activity
sc_1028,Negative,"sugar-phosphatase activity, transition metal ion binding, iron ion transmembrane transport"
sc_103,Negative,spermidine biosynthetic process
sc_10309,Positive,"cell wall organization, RNA-templated DNA biosynthetic process"
sc_1031,Negative,"peptidoglycan turnover, proteolysis"
sc_10310,Positive,RNA-templated DNA biosynthetic process
sc_1032,Positive,NAD binding
sc_1033,Positive,carbohydrate derivative metabolic process
sc_1034,Positive,"pyridoxal phosphate binding, lyase activity"
sc_1036,Positive,regulation of DNA-templated transcription
sc_1037,Positive,phosphoenolpyruvate-dependent sugar phosphotransferase system
sc_1038,Positive,metalloendopeptidase activity
sc_1039,Positive,"xanthine dehydrogenase activity, 2 iron, 2 sulfur cluster binding"
sc_104,Negative,"copper ion binding, response to stress, regulation of DNA-templated transcription"
sc_1047,Positive,regulation of DNA-templated transcription
sc_10481,Positive,DNA restriction-modification system
sc_105,Negative,"guanine salvage, cobalamin transport, protein stabilization, 5-oxoprolinase (ATP-hydrolyzing) activity, tRNA 4-thiouridine biosynthesis, protein binding, NAD salvage, outer membrane-bounded periplasmic space, nucleotide-excision repair, protein repair, tyrosyl-tRNA aminoacylation, heme transport, regulation of DNA-templated transcription, regulation of glutamine family amino acid metabolic process, intracellular calcium ion homeostasis, base-excision repair, transmembrane transporter activity, guanosine pentaphosphate catabolic process, polysaccharide biosynthetic process, enterobacterial common antigen metabolic process, CDP-diacylglycerol biosynthetic process, translation, tRNA nucleoside ribose methylation"
sc_1052,Positive,fumarate hydratase activity
sc_1053,Positive,"L-iditol 2-dehydrogenase (NAD+) activity, oxidoreductase activity"
sc_1054,Positive,regulation of DNA-templated transcription
sc_1055,Positive,"mannitol transmembrane transport, phosphoenolpyruvate-dependent sugar phosphotransferase system"
sc_10571,Positive,exonuclease activity
sc_1058,Positive,molybdate ion transport
sc_1060,Positive,asparagine metabolic process
sc_1062,Negative,"regulation of DNA-templated transcription, kinase activity"
sc_10621,Positive,"helicase activity, ATP hydrolysis activity, secretion by the type IV secretion system, protein binding, protein secretion by the type IV secretion system, ATP binding"
sc_1063,Negative,organic acid catabolic process
sc_1064,Negative,pentose catabolic process
sc_1065,Negative,gluconate transmembrane transport
sc_1066,Positive,lyase activity
sc_1067,Positive,ubiquinone biosynthetic process
sc_1068,Positive,regulation of DNA-templated transcription
sc_1069,Positive,regulation of DNA-templated transcription initiation
sc_107,Positive,cell adhesion involved in single-species biofilm formation
sc_10715,Negative,"proteolysis, defense response to virus, cyclic threonylcarbamoyladenosine biosynthetic process, regulation of DNA-templated transcription"
sc_1072,Positive,proteolysis
sc_1073,Positive,regulation of DNA-templated transcription
sc_1074,Positive,iron ion binding
sc_1075,Positive,"glycerol metabolic process, electron transfer activity"
sc_10756,Negative,methylation
sc_10758,Negative,outer membrane
sc_10759,Negative,outer membrane
sc_1076,Positive,fatty acid beta-oxidation using acyl-CoA dehydrogenase
sc_1077,Negative,endonuclease activity
sc_10773,Positive,cell outer membrane
sc_10779,Positive,defense response to virus
sc_1078,Positive,transmembrane transporter activity
sc_10781,Positive,outer membrane
sc_1079,Positive,lipid biosynthetic process
sc_10794,Negative,"defense response to virus, ATP hydrolysis activity"
sc_108,Negative,pilus assembly
sc_1080,Positive,transmembrane transporter activity
sc_1081,Positive,carbohydrate metabolic process
sc_1082,Negative,"polysaccharide transport, trehalose transport, sucrose metabolic process, response to fructose"
sc_10823,Negative,cellular response to oxygen levels
sc_10825,Negative,ubiquinone-6 biosynthetic process
sc_10826,Positive,amino acid activation for nonribosomal peptide biosynthetic process
sc_10829,Positive,modulation of process of another organism
sc_1084,Positive,"rRNA catabolic process, toxin sequestering activity"
sc_10841,Positive,'de novo' pyrimidine nucleobase biosynthetic process
sc_10847,Negative,transmembrane transporter activity
sc_1085,Negative,phosphorelay signal transduction system
sc_1086,Negative,fucose transmembrane transport
sc_1087,Negative,"DNA integration, RNA-templated DNA biosynthetic process, proteolysis"
sc_1088,Negative,host outer membrane
sc_1089,Negative,DNA transposition
sc_1090,Negative,DNA integration
sc_1091,Positive,transposition
sc_1093,Negative,ribose phosphate metabolic process
sc_1094,Positive,"arylsulfate sulfotransferase activity, protein-disulfide reductase activity, protein folding"
sc_1097,Positive,L(+)-tartrate dehydratase activity
sc_1098,Positive,protein secretion by the type II secretion system
sc_11,Positive,endonuclease activity
sc_110,Negative,cell wall organization
sc_1100,Negative,chemotaxis
sc_1101,Negative,protein secretion by the type II secretion system
sc_1102,Positive,transmembrane transporter activity
sc_1104,Positive,trehalose catabolic process
sc_1105,Negative,protein secretion
sc_1106,Positive,rRNA methylation
sc_1109,Positive,"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity, oxidoreductase activity"
sc_1111,Negative,protein secretion by the type II secretion system
sc_1112,Negative,protein secretion by the type II secretion system
sc_1113,Positive,protein secretion by the type II secretion system
sc_1114,Positive,protein secretion by the type II secretion system
sc_1115,Positive,protein secretion by the type II secretion system
sc_1116,Positive,protein secretion by the type II secretion system
sc_1117,Positive,cell outer membrane
sc_1118,Positive,signal peptide processing
sc_1119,Positive,metallopeptidase activity
sc_112,Negative,cell adhesion involved in single-species biofilm formation
